text,headlines,predictions,Rouge_R1,Rouge_R2,Rouge_RL,BLEU
the new ceo of national stock exchange nse vikram limaye has said his immediate priority is to resolve probe from market regulator sebi about whether nse employees provided unfair access to co-location servers to select brokers co-location servers are placed at exchanges to speed up algorithmic trading notably the probe has delayed the initial public offering of the nse.,resolving regulatory probe of nse top priority ceo limaye, govt may take action against sebi on pnb fraud,0.0,0.0,0.0,0.0
ajay singh-controlled budget carrier spicejet has moved the supreme court against delhi high court order asking it to deposit ã¢ââ¹579 crore in share transfer dispute spicejet has filed the appeal against its previous owner kalanithi maran-promoted kal airways notably maran sought ã¢ââ¹2 000 crore in compensation from singh and spicejet for causing losses by failing to honour an agreement.,spicejet challenges order to pay ã¢ââ¹579 cr in row with maran, delhi hc dismisses plea against rcom over ã¢ââ¹2 crore scam,0.0,0.0,0.0,0.0
suniel shetty has said that after doing 126 films one can say that he has not been doing that many films while adding did an overdose of cinema suniel further said needed to take break to focus on my children athiya and ahan careers are more important to me suniel will complete 25 years in bollywood this year.,i think after 126 films did an overdose of cinema suniel, i don think about films for film industry maker,0.2727272727272727,0.0,0.2727272727272727,0.6084288535721682
on the occasion of priyanka chopra 35th birthday abhishek bachchan tweeted happy birthday chopps take break even if it just for the day happy birthday onward and upward wrote jacqueline fernandez riteish deshmukh wrote happy birthday dear keep shining have the brightest one happy birthday @priyankachopra bigger person than star tweeted filmmaker sujoy ghosh.,abhishek jacqueline riteish wish priyanka on her birthday, you are you priyanka on day of her day in day,0.2857142857142857,0.10526315789473685,0.2857142857142857,0.4063798282013443
an 18-year-old son of maharashtra housing and area development authority vice president milind mhaiskar and urban development department principal secretary manisha mhaiskar was found dead under mysterious circumstances in mumbai the police are trying to find out whether it was case of suicide or if he was pushed from the 20th storey of the building.,ias officer son found dead under mysterious circumstances, maharashtra family of dead as man utd in maharashtra,0.10526315789473685,0.0,0.10526315789473685,0.5773502691896257
after pakistani pacer mohammad amir revealed on twitter that he rates indian captain virat kohli as the world best batsman user tweeted from india and aapne dil jit liya ham sabka doesn matter who is best but am your big fan as an indian would god bless you read another tweet.,aapne dil jit liya tweets user on amir calling kohli best, kohli is the most expensive player on twitter india tweets,0.2608695652173913,0.0,0.08695652173913043,0.6696546139496112
sri lanka on tuesday chased down the target of 388 against zimbabwe in the one-off test to register their highest successful run chase the run chase was also the biggest in sri lanka and asia and the fifth highest successful chase in cricket history spinner rangana herath who took 11 wickets in the match was named man of the series.,sri lanka register their highest successful test run chase, sri lanka beat sri lanka by runs over wickets in t20i,0.27272727272727276,0.1,0.27272727272727276,0.36720562698935927
italian football legend francesco totti on monday confirmed his retirement from football after spending his 25-year-long playing career with seria club roma the 40-year-old who made his debut for the club aged 16 in 1993 featured in 786 matches and scored 307 goals totti revealed that he will continue to work with his boyhood club as director.,francesco totti retires after playing 25 years for same club, player who was the same person after years,0.3,0.0,0.20000000000000004,0.6094445482670285
shiv sena leader and rajya sabha mp sanjay raut on monday questioned opposition parties for fielding gopalkrishna gandhi for the vice presidential elections claiming that gandhi had opposed the death sentence of 1993 mumbai bomb blasts convict yakub memon raut said he had even written to the president want to ask opposition what kind of mindset is this ,gopalkrishna gandhi opposed yakub memon hanging shiv sena, ex mp cm slams for not giving birth to shiv sena,0.1904761904761905,0.10526315789473685,0.1904761904761905,0.36720562698935927
the centre has asked all the states to compulsorily file firs in all untoward incidents happening in the name of cow protection the lok sabha was informed on tuesday the centre said that the responsibility to maintain law and order and preventing incidents of attacks on cattle traders beef eaters muslims dalits and dairy farmers rests with the states.,govt asks states to file firs over violence in cow name, govt asks states to stop using cow protection from centre,0.43478260869565216,0.28571428571428564,0.43478260869565216,0.2513293635022765
a priest from kerala wayanad district identified as father saji joseph has been arrested for sexually abusing minor boys at children home the incident that took place during the summer of 2016 came to light recently after victim shared the ordeal with his parents the accused was absconding for the past three days before being arrested from karnataka.,kerala priest arrested for sexually abusing minor boys, kerala school teacher arrested for raping minor boys,0.5555555555555556,0.25,0.5555555555555556,0.6500593260343691
south korean company lg has unveiled steriliser that uses ultraviolet light to continuously disinfect the rubber handrails of escalators while moving through process called ultraviolet germicidal irradiation the steriliser kills microorganisms by targeting their nucleic acids or disrupting their dna the device powers itself by converting the escalator movement into electricity.,lg unveils device that disinfects handrails of escalators, n korea unveils concept that can detect his own,0.2105263157894737,0.0,0.2105263157894737,0.6865890479690392
tube worms living up to 300 metres deep in the gulf of mexico are among the longest living animals in the world us-based researchers have found an average 50-centimetre-long tube worm can live for 202 years while some might live 300 years researchers said the longest-lived land vertebrate ever recorded was 177-year-old tortoise while 211-year-old whales were longest-lived mammals.,gulf of mexico tube worm among longest living animals study, world oldest person to be born in us,0.0,0.0,0.0,0.0
infosys executive vice president ritika suri who was also ceo vishal sikka former colleague at german business software giant sap has reportedly resigned suri who earned over ã¢ââ¹5.1 crore in 2016-17 was in charge of the company corporate development she led the acquisition of israeli automation company panaya which was at the centre of an investigation.,infosys executive vice president ritika suri quits, ex infosys ceo singh resigns over ã¢ââ¹7 lakh,0.11764705882352941,0.0,0.11764705882352941,0.5946035575013605
the trailer of qaidi band the film which marks the debut of raj kapoor grandson aadar jain and anya singh was released today the film revolves around undertrials who come together to form band in jail written and directed by habib faisal the film is scheduled to release on august 25 ,trailer of debut film of raj kapoor grandson aadar out, trailer of aamir khan starrer zero released,0.2105263157894737,0.11764705882352941,0.2105263157894737,0.3043119239482219
the bcci on tuesday named former indian cricketer bharat arun as the indian cricket team bowling coach arun who was indian coach ravi shastri teammate from their under-19 days had previously served in the same capacity during shastri tenure as team director from 2014 to 2016 notably sanjay bangar and sridhar will remain the batting and fielding coach respectively.,bharat arun appointed team india bowling coach, bcci announces bcci u 19 team india coach for months,0.3157894736842105,0.11764705882352942,0.3157894736842105,0.427287006396234
the karnataka government has set up nine-member committee to design separate flag for the state which will be its unique identity symbol the congress-led state has also asked the panel to submit report on legally recognising the state flag as of now jammu and kashmir is the only state that has its own flag.,karnataka appoints panel to design separate state flag , karnataka to get its national security council,0.23529411764705882,0.0,0.23529411764705882,0.6337834876616586
less than 000 out of 36 lakh eligible farmers have opted for an interim loan of ã¢ââ¹10 000 in maharashtra the state had offered the interim loan to facilitate sowing of kharif crops until the actual farm loan waiver was announced noting poor response to the interim waiver scheme advertisements were also published in newspapers urging farmers to avail the loan.,only 000 of 36 lakh farmers seek interim loan of ã¢ââ¹10 000, farmers protest against farmers in protest against tax,0.0909090909090909,0.0,0.0909090909090909,0.36064528799877893
shares of cigarette maker itc today fell around 15% set for their biggest fall in 25 years erasing nearly ã¢ââ¹50 000 crore in market value the fall came after government increased cess on cigarettes accordingly tax burden on cigarettes will go up by ã¢ââ¹4.8-ã¢ââ¹7.9 per 10 sticks other companies like godfrey phillips india and vst industries declined 6% and 3% respectively ,itc loses ã¢ââ¹50 000 crore in value on hike in cigarette cess, rcom shares fall 8 after record high of 100 billion,0.0,0.0,0.0,0.0
south africa anti-apartheid revolutionary nelson mandela had attributed his success to mahatma gandhi while receiving the nobel prize in 1993 he had also praised gandhi for his morality simplicity and love for the poor saying while gandhi was human without weaknesses am man of many weaknesses mandela was later conferred with the international gandhi peace prize.,mandela had attributed success to gandhi on getting nobel, who was the nobel winning actor,0.11764705882352941,0.0,0.11764705882352941,0.38753858253732953
actress priyanka chopra who turned 35 today has shared pictures celebrating the occasion on her ongoing vacation with her family most of her pictures show the actress with her mother madhu chopra and brother siddharth in one of the pictures she shared with shark and stingray priyanka wrote when shark stingray and birthday girl make friends ,priyanka marks her 35th birthday on vacation with her family, priyanka shares pic with her mother from their father,0.28571428571428564,0.10526315789473685,0.28571428571428564,0.4042892997911646
sylvester stallone spokesperson has denied rumours of the the 71-year-old hollywood actor appearance in the indian remake of rambo starring tiger shroff the spokesperson said any involvement in tiger shroff rambo is not happening under any circumstances notably stallone is known for playing the lead character john rambo in the film series.,stallone denies rumour of starring in tiger rambo remake, teaser of akshay kumar starrer october released,0.1111111111111111,0.0,0.1111111111111111,0.46199933699457096
while hearing petitions challenging aadhaar the supreme court on tuesday appointed 9-judge bench to decide whether privacy is fundamental right or not under the constitution while the government has been pushing for aadhaar citing that it would ensure subsidy schemes reach the targeted activists claim that it is vulnerable to data breaches and helps government spy on people.,sc appoints 9-judge bench to decide on right to privacy, aadhaar is not mandatory for sc st act verdict,0.09090909090909091,0.0,0.09090909090909091,0.5166357204442371
a security researcher has revealed flaw in social networking platform myspace that allowed any account to be hijacked just by entering the user birthday the flaw came from myspace now-defunct account recovery page that asked for the account holder name username email address and birthday however myspace didn check if the correct email address had been entered.,myspace let user accounts be hacked just by typing birthday, twitter users react to twitter users over racist attack,0.09523809523809525,0.0,0.09523809523809525,0.0
paytm mall the online shopping arm of paytm has delisted about 85 000 sellers from its platform on failing to meet quality standards according to paytm the move was part of its strategy to revamp seller registration and all its sellers will now have to furnish brand authorisation letters in march paytm e-commerce raised $200 million from alibaba and saif partners.,paytm delists 85 000 sellers from online shopping platform, paytm mall in talks with paytm founder goes viral,0.09999999999999999,0.0,0.09999999999999999,0.5773502691896257
scientists have devised formula that can calculate maximum speed of animal with 90% accuracy knowing just the animal weight and medium of travelã¢ââ land water or air researchers add that muscles solely don determine speed otherwise elephants would reach maximum speeds of 600 kmph speeds increase with mass up to an optimum weight like for cheetah they found.,study correlates size of animals with their speed, scientists develop new year old to make it with 99,0.1,0.0,0.1,0.5623413251903491
a video captured by passenger commuting on bus shows the driver peeling an apple while driving on highway in taizhou china the driver can be seen holding the steering and calmly peeling an apple and tossing the discarded peels in bucket at the same time he has reportedly been banned from driving passenger vehicles for life.,video shows man peeling an apple while driving bus, video shows apple watch on self driving car in china,0.380952380952381,0.10526315789473685,0.380952380952381,0.4591497693322865
the government has ordered reliance industries shell and ongc to pay $3 billion ã¢ââ¹19 300 crore in penalty following an arbitration award in the pmt oil field dispute the arbitration panel upheld that profit from the fields should be calculated after deducting prevailing tax of 33% and not the 50% rate earlier this will increase the government share of profit petroleum.,reliance shell ongc fined ã¢ââ¹19 300 crore in oil field row, govt approves ã¢ââ¹1 000 crore for oil gas projects in fy18,0.24999999999999994,0.0,0.16666666666666669,0.7226568811456053
indo-canadian youtube star lilly singh also known as superwoman said if you watch something and it makes you laugh great if it doesn that comedy isn wrong it just not suitable for you calling comedy very subjective lilly added the best thing you can do is promote what you love and not bash what you hate ,if it doesn make you laugh that comedy isn wrong lilly, i am not the idea of the film industry founder,0.0,0.0,0.0,0.0
 harry potter actor daniel radcliffe helped tourist who was attacked by two men on bikes in london the victim was walking when the men stole his bag and left him with an injury he was really nice bloke lot of stars wouldn have stopped to help said former policeman who tried to intervene during the robbery.,harry potter actor daniel helps tourist attacked by robbers, singer accuses singer of being shot at,0.0,0.0,0.0,0.0
a man from pune fell into 150-foot gorge in madhe ghat where he clung to tree branch whole night before getting rescued the next day ramesh mane was out on trip with his friends who while coming back realised mane was missing his friends said they were surprised on finding that mane did not have major injuries.,man falls into gorge spends night clinging to tree branch, man falls off building after being falls on water,0.1904761904761905,0.10526315789473685,0.1904761904761905,0.3653166213293175
actor arbaaz khan was trolled on twitter after tennis player roger federer won his eighth wimbledon title arbaaz and federer were called twins with user tweeting the only time people talk about arbaaz khan is when there roger federer match going on another tweet read watches arbaaz khan in iifa awards says well played federer on twitter ,arbaaz khan trolled after roger federer wimbledon win, federer shares pic of his best friend in twitter,0.10526315789473685,0.0,0.10526315789473685,0.5773502691896257
after gorkhaland supporter was allegedly shot dead by police in darjeeling on monday night the death toll reached eight in the west bengal district amid the ongoing unrest notably the indefinite shutdown of the hills entered the 34th day on tuesday however the police have denied opening fire in any of the incidents which have allegedly killed eight people.,gorkhaland supporter killed in police firing in darjeeling, j cop shot dead by police in encounter,0.22222222222222224,0.0,0.22222222222222224,0.7071067811865476
rss muslim wing muslim rashtriya manch mrm has launched campaign against chinese rakhi in uttar pradesh capital lucknow the activists have burnt chinese goods and are circulating whatsapp messages saying wear an indian rakhi if you care about your country by cooperating with us buyers and traders can help deflate the chinese ambitions said an mrm activist.,rss launches no chinese rakhi campaign in up, china launches app for ram rahim launches fake news,0.10526315789473685,0.0,0.10526315789473685,0.5773502691896257
rajasthan university is set to include book on mughal emperor akbar haldighati defeat by rajput king maharana pratap in its history department curriculum from this year the book by dr chandra shekhar sharma projects pratap as great freedom fighter notably the idea to teach akbar defeat was first mooted by bjp mla mohan lal gupta earlier this year.,rajasthan university to teach akbar haldighati defeat, rajasthan to be renamed to be renamed as minister,0.2222222222222222,0.0,0.2222222222222222,0.6865890479690392
a man named pravesh rawat has been arrested after he was found extracting money from passengers on train posing as travel ticket examiner tte he was issuing receipts to passengers travelling without ticket and collecting fine from them on board the train from dehradun to delhi he was arrested after suspicious travellers alerted the government railway police.,man held for extracting money by posing as ticket examiner, man held for stealing cash from atm in delhi,0.28571428571428564,0.2105263157894737,0.28571428571428564,0.29558013016570783
uk-based researchers have found aquatic plants which survived over 100 years in ghost ponds buried beneath cropped fields ponds buried for 45 50 and 150 years when excavated were colonised in less than six months by native aquatic plants the study highlights it is possible to resurrect these buried habitats from the seeds and eggs stored within their historic sediments ,plants survive over 100 years in buried ghost ponds , scientists find more than black hole in the country,0.09999999999999999,0.0,0.09999999999999999,0.5773502691896257
using 3d imaging uk-based researchers have discovered fluid flows through rocks are very unstable compared to the 100-year-old darcy law which describes stable fluid movement through microscopic pathways however researchers claim the pathways last only for tens of seconds at most before re-arranging and forming new pathways the findings would enable modelling oil co2 storage team said.,new study challenges 100-year-old law on fluid flow in rocks, scientists find more than 000 kg of the year,0.08695652173913043,0.0,0.08695652173913043,0.0
spain-based scientists have discovered galaxy 000 times brighter than the milky way known from the period when universe was about 20% of its age the galaxy 10 billion light-years away was discovered using gravitational lensing which occurs when massive object between light source and observer bends the light due to gravity making the source brighter and bigger.,galaxy 000 times brighter than milky way discovered, scientists find the most powerful stars in one year,0.0,0.0,0.0,0.0
bleaching has damaged the world northernmost coral reef in japan in the latest example of global phenomenon which scientists have attributed to warmer ocean temperatures healthy reefs protect shores from storms and offer habitats for marine life but after severe bleaching reefs degrade and the structures that the corals build erode threatening the existence of ecosystems depending on them.,world northernmost coral reef in japan bleached, world largest nuclear capable discovered in south africa,0.23529411764705882,0.0,0.23529411764705882,0.7071067811865476
a social activist has filed public interest litigation in the bombay high court demanding 24-hour helpline against cow vigilantes the activist fearing that more attacks may follow during bakra eid said that it is the duty of the state to protect its citizens all the police stations should have names of gau-rakshaks under their jurisdiction the petition demanded.,pil filed seeking 24-hr helpline against cow vigilantes, hc upholds order on illegal construction in mumbai,0.0,0.0,0.0,0.0
nawazuddin siddiqui in tweet wrote thank you for making me realise that cannot be paired along with the fair handsome because dark not good looking but never focus on that earlier siddiqui starrer babumoshai bandookbaaz casting director said how they couldn cast fair and handsome people with siddiqui as it would look weird.,can be paired with the fair as dark nawaz on casting, nawazuddin not my name to make me nawazuddin,0.0,0.0,0.0,0.0
an army major was shot dead by jawan after being reprimanded for using cell phone during duty hours the jawan was caught using cell phone during surprise check by major shikhar thapa who then confiscated the phone this led to an argument between the two with the jawan firing five shots from his ak-47 at thapa.,jawan shoots army major dead after argument on using phone, army jawan shot dead by army in jammu and kashmir,0.2727272727272727,0.0,0.1818181818181818,0.7400828044922853
union textile minister smriti irani was given the additional charge of the information broadcasting ministry after venkaiah naidu resigned further the charge of the urban development ministry was handed over to narendra singh tomar naidu resignation comes after the nda announced him as their vice presidential candidate to fight the polls against opposition gopalkrishna gandhi.,smriti irani given ministry as venkaiah naidu resigns, union minister quits to join union minister,0.0,0.0,0.0,0.0
a fake message being circulated on whatsapp claims that if people split their shopping bills at supermarket chain d-mart they can avoid gst the message says that no gst will be levied on bills below ã¢ââ¹1 000 while the tax will increase as the amount increases however d-mart issued clarification saying gst is levied on products not on bill amount.,whatsapp message asking to split bill to avoid gst is fake, whatsapp can be tax on fake news of family in india,0.16666666666666669,0.0,0.16666666666666669,0.6529942057256104
external affairs minister sushma swaraj slammed pakistan while extending medical visa to student from pakistan occupied kashmir pok calling the region an integral part of india adding that pok was illegally occupied by pakistan she said that no letter was required in this case letter of recommendation is required from pakistan for medical visa to pakistanis.,pok an integral part of india sushma while extending visa, pak rejects india plea for pak peace talks on jadhav,0.0909090909090909,0.0,0.0909090909090909,0.5623413251903491
a man posing as coach has been arrested after allegedly raping minor national-level kabaddi player in delhi the girl met the man at stadium where he identified himself as the administrator and coach she approached the police on monday after which the case was registered the girl claimed she was unconscious when the incident happened.,man posing as coach rapes minor national kabaddi player, man arrested for raping 16 year old girl in delhi,0.1904761904761905,0.0,0.1904761904761905,0.5623413251903491
a total of six indian vice presidents went on to be elected as presidents later the list includes dr radhakrishnan who was elected as the country president after serving two terms as the vice president the other five people on the list are dr zakir hussain giri venkataraman dr shankar dayal sharma and narayanan.,which indian vice presidents have been elected presidents , indian origin cricketer who named in 2017,0.11764705882352941,0.0,0.11764705882352941,0.5329462628216854
a security robot posted at an office building in washington dc drowned itself by entering fountain inside the office campus initial reports suggested that the robot apparently took wrong turn the robot knightscope k5 is fully self-driving robot used to monitor crimes in school office and public buildings.,security robot in us drowns itself into fountain, robot crash that can be used in car crash,0.2105263157894737,0.0,0.2105263157894737,0.6865890479690392
a marathi actress was molested by person sitting behind her in movie theatre in mumbai the incident took place when the actress was out with her daughter following the incident she filed police complaint against the accused and the police later stated that the accused was drunk.,marathi actress molested in mumbai movie theatre , actor who molested me mumbai actor,0.26666666666666666,0.0,0.26666666666666666,0.6431870218238024
according to reports no explosive substance was detected in the powder found in the uttar pradesh assembly earlier the lucknow lab had confirmed the presence of explosive petn which the agra lab has now refuted while report from the hyderabad lab is still awaited however officials have refuted the claims saying no sample was sent to agra to conduct tests.,powder found in up assembly not explosive reports, no one found in up in gujarat,0.35294117647058826,0.26666666666666666,0.35294117647058826,0.3564026463354183
bahujan samaj party chief mayawati said that she would resign from her post as the mp in rajya sabha on tuesday as she was not being allowed to speak in the house it shame if not able to put forward the concerns of my weaker sections in the parliament don have the right to stay mayawati said.,not being allowed to speak in rs so resigning mayawati, will quit if he was not any any bsp leader,0.0909090909090909,0.0,0.0909090909090909,0.5623413251903491
citing the escalated standoff at doklam chinese media on tuesday stated that if india stirs up conflicts at line of actual control lac it should be ready to face consequences of all-out confrontation the media asserted that india is concerned with china rapid economic growth and blamed the former for provoking border conflicts as means of sounding out china.,india provocation will trigger confrontation chinese media, india should not be in china for talks with china,0.10526315789473685,0.0,0.10526315789473685,0.5623413251903491
samsung electronics has announced that it will recover 1.5 lakh kg of rare metal including gold from galaxy note smartphones that it recalled last year the global recall was prompted by battery defect that caused the phones to explode samsung said it will also recycle or repair oled display modules memory chips and camera modules from the smartphones.,samsung to get 1.5l kg metals like gold from recalled phones, samsung to use 1 million to create 1 million,0.2608695652173913,0.09523809523809525,0.2608695652173913,0.32689967585126034
premjiinvest the investment arm of wipro chairman azim premji on monday bought 3.26% stake in kishore biyani future lifestyle fashions for nearly ã¢ââ¹196 crore future lifestyle fashions runs fashion labels such as indigo nation scullers and mother earth the shares were sold by bennett coleman company and india opportunities growth fund pinewood strategy ,premjiinvest buys 3.26% stake in future lifestyle for ã¢ââ¹196cr, zomato buys stake in fashion arm for new year,0.380952380952381,0.10526315789473685,0.380952380952381,0.43443712531357925
tesla has added two new independent directors to its board namely james murdoch ceo of 21st century fox and linda johnson rice chairman of johnson publishing the independent members on the board come after mounting pressure by tesla investors for the same the two directors do not have any prior relationship with tesla or its ceo elon musk.,tesla appoints two new independent directors to its board, tesla is the new tesla ceo elon musk,0.2105263157894737,0.0,0.2105263157894737,0.6240195441936915
one out of three labourers died on monday after they were trapped in an almost 15-20 feet deep pit while digging for sewer pipeline in gurugram among the other two one was seriously injured and the other had narrow escape calling it an accident the authorities have announced compensation of ã¢ââ¹2 lakh for the victim family.,man dies after falling into pit while digging for sewer line, 3 dead after boat capsizes in up in gujarat,0.09090909090909091,0.0,0.09090909090909091,0.46230595512422085
the gurugram police has reportedly decided to deploy drones sniffer dogs and additional forces to ensure top security for the kanwar yatris reportedly separate lanes are also being created for the pilgrims to enable smooth traffic movement and maintain law and order special security will be provided to women pilgrims during the yatra senior official said.,gurugram police to deploy drones for kanwar yatris, police to build two men in tamil nadu,0.22222222222222224,0.125,0.22222222222222224,0.43472087194499137
the delhi government has released ã¢ââ¹100 crore for the completion of the signature bridge which is twice the height of the qutub minar the bridge was supposed to be ready by 2010 commonwealth games but its construction was slowed down due to insufficient funds delhi tourism minister rajendra pal gautam said that nearly 92% of the project has been completed ,ã¢ââ¹100 cr released for bridge twice the height of qutub minar , delhi govt launches ã¢ââ¹1 000 crore for metro projects in delhi,0.08333333333333334,0.0,0.08333333333333334,0.5491004867761125
to monitor drivers who don stop buses at designated stops the delhi government has decided to install cctv cameras at various bus stops transport officials said that skipping bus stops is common practice among drivers of the government-run buses it not only creates congestion on roads but also poses difficulty for senior citizens and differently abled among others.,delhi govt to install cctv cameras at bus stops, delhi police to get bus into mobile phones in bengaluru,0.28571428571428575,0.0,0.28571428571428575,0.7400828044922853
manchester united players including paul pogba marouane fellaini and juan mata met game of thrones actors john bradley-west and joe dempsie during the team pre-season training camp in los angeles john who plays samwell tarly and joe who plays gendry also met josãâ mourinho and posed with united europa league trophy john sported the team away jersey during the interaction.,manchester united players meet game of thrones actors in usa, man utd girlfriend shares pic with girlfriend,0.0,0.0,0.0,0.0
former women cricketers have reportedly written to bcci questioning the committee of administrators decision of awarding select ex-players one-time payment of ã¢ââ¹25 lakh the board has claimed that few former players have also demanded the amount but the bcci is not able to verify their credentials three players were awarded ã¢ââ¹25 lakh while three were given ã¢ââ¹15 lakh.,cricketers question ã¢ââ¹25 lakh award for select women players, bcci seeks bcci help to pay for women in australia,0.1904761904761905,0.0,0.1904761904761905,0.668740304976422
according to world bank latest edition of global economic prospects india has ranked fourth among world fastest growing economies india is expected to grow at 7.2% in the current fiscal and domestic demand is expected to remain strong supported by policy reforms reports added india has been placed behind smaller economies of estonia uzbekistan and nepal in growth rate.,india stands 4th among fastest growing economies world bank, india to world bank richest man in world cup final,0.28571428571428575,0.10526315789473685,0.28571428571428575,0.427287006396234
a punjab court acquitted all four suspects in the orbit bus molestation and death case in moga citing lack of evidence in 2015 13-year-old girl died after she was allegedly molested and pushed out of moving bus along with her mother the suspects were acquitted as the mother failed to recognise the suspects saying she doesn remember anything .,4 acquitted due to lack of evidence in moga molestation case, punjab man dies after being sent to death in andhra,0.17391304347826086,0.0,0.17391304347826086,0.6051012508914458
a recently-released video shows model rocket engine burning underwater and exploding fish tank in slow motion the rocket contained mostly potassium nitrate sulphur and charcoal which burn all the way through even when completely submerged the footage was captured using 4k high-speed camera and uploaded by youtube channel warped perception known for filming slow motion videos.,video shows model rocket engine underwater in slow motion, video shows how much space station from space station,0.19999999999999998,0.11111111111111112,0.19999999999999998,0.408248290463863
former national-level hockey player amit saroha who met with an accident in 2007 clinched the silver medal in the club throw event in the f-51 category at the world para athletics championships saroha produced his career best performance at the world para athletics championships throwing the club to 30.25 metres to set an asian record as well.,saroha wins club throw silver at world para athletics ship, who is the world number in the world cup final,0.0909090909090909,0.0,0.0909090909090909,0.5623413251903491
pakistani pacer mohammad amir revealed during question-answer session on twitter that according to him indian captain virat kohli is currently the world best batsman rating him above steve smith kane williamson and joe root the 25-year-old who served ban for spot-fixing also revealed that he equally enjoyed dismissing sachin tendulkar and virat kohli.,mohammad amir calls virat kohli the world best batsman, kohli is like cricket team india coach on kohli ganguly,0.09523809523809525,0.0,0.09523809523809525,0.5623413251903491
the delhi police arrested father-son duo who would buy stolen items from pickpockets and then sell them for profit from mangolpuri the father allegedly also used to teach theft to young boys and charge commission from them cops nabbed them after tip-off and seized ã¢ââ¹2 lakh 54 phones 11 laptops and car from their possession.,father son arrested with stolen items in delhi, delhi man arrested for selling drugs worth ã¢ââ¹1 crore,0.2105263157894737,0.0,0.10526315789473685,0.6865890479690392
the ministry of external affairs has rubbished report about the killing of indian soldiers in sikkim published by the pakistan media ministry spokesperson gopal baglay said that the report is ã¢ââutterly baseless malicious and mischievousã¢ââ pakistani media organisation had reported that at least 158 indian soldiers were killed on monday after china fired along the indian border.,pak news of 158 indian jawans killed in sikkim baseless mea, india not to be used to death penalty for govt,0.0,0.0,0.0,0.0
